CityPart,MaxFloor,Area,Rooms,Bedrooms,LastFloor,Floor,PRICE (GEL),Status,Electrical Points,Condition,Heating,Natural Gas,Bed,Stove (Gas/Electric),Table,Refrigerator,Chairs,Oven,Air Conditioner,Washing Machine,Sofa,Dishwasher
Krtsanisshi,6.0,730.0,7.0,4.0,1.0,6.0,4619070.0,Newly Constructed,3.0,Newly Renovated,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Didubeshi,30.0,44.0,2.0,1.0,0.0,15.0,149441.0,Under Construction,1.0,Black Frame,,0.0,0,0,0,0,0,0,0,0,0,0
Didubeshi,30.0,95.0,3.0,2.0,0.0,24.0,234757.0,Under Construction,1.0,Black Frame,,0.0,0,0,0,0,0,0,0,0,0,0
Didubeshi,30.0,95.0,3.0,2.0,0.0,28.0,234757.0,Under Construction,1.0,Black Frame,,0.0,0,0,0,0,0,0,0,0,0,0
Didubeshi,30.0,128.0,4.0,3.0,0.0,18.0,347789.0,Under Construction,1.0,Green Frame,,0.0,0,0,0,0,0,0,0,0,0,0
Didubeshi,30.0,80.0,3.0,2.0,0.0,24.0,195631.0,Under Construction,1.0,Black Frame,,0.0,0,0,0,0,0,0,0,0,0,0
Mtatsmindaze,4.0,135.0,4.0,3.0,1.0,4.0,641915.0,Newly Constructed,3.0,Green Frame,Central Heating,0.0,0,0,0,0,0,0,0,0,0,0
Vakeshi,23.0,273.0,6.0,4.0,0.0,20.0,1668299.0,Newly Constructed,2.0,Green Frame,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Vakeshi,23.0,146.0,4.0,3.0,0.0,19.0,812413.0,Newly Constructed,2.0,Green Frame,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Vakeshi,23.0,133.0,5.0,3.0,0.0,18.0,668407.0,Newly Constructed,2.0,Green Frame,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Vazisubanshi,9.0,80.0,3.0,2.0,1.0,9.0,195631.0,Old Constructed,2.0,Old Renovated,Gas Heater,1.0,0,0,0,0,0,0,0,0,0,0
Isanshi,26.0,70.0,3.0,1.0,0.0,22.0,192914.0,Newly Constructed,1.0,Newly Renovated,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Saburtaloze,12.0,145.0,4.0,3.0,0.0,11.0,491795.0,Newly Constructed,2.0,White Frame,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Lisze,14.0,64.0,2.0,1.0,1.0,14.0,220085.0,Newly Constructed,1.0,Newly Renovated,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Nutsubidzis Ferdobze,17.0,140.0,4.0,3.0,0.0,15.0,418433.0,Newly Constructed,2.0,Green Frame,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Vakeshi,8.0,136.0,3.0,2.0,1.0,8.0,461907.0,Newly Constructed,1.0,White Frame,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Didubeshi,30.0,128.0,4.0,3.0,0.0,13.0,313010.0,Under Construction,1.0,Black Frame,,1.0,0,0,0,0,0,0,0,0,0,0
Ortachalashi,15.0,190.0,6.0,4.0,0.0,5.0,619499.0,Newly Constructed,3.0,White Frame,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Veraze,8.0,110.0,4.0,3.0,0.0,3.0,1195524.0,Newly Constructed,2.0,Newly Renovated,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Saburtaloze,22.0,120.0,3.0,2.0,0.0,8.0,596403.0,Newly Constructed,2.0,Green Frame,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Saburtaloze,15.0,82.0,3.0,2.0,0.0,8.0,355940.0,Newly Constructed,1.0,Green Frame,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Vakeshi,22.0,119.0,3.0,2.0,0.0,17.0,923814.0,Newly Constructed,1.0,Newly Renovated,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Saburtaloze,18.0,160.0,5.0,3.0,0.0,16.0,516249.0,Newly Constructed,2.0,White Frame,Central Heating,1.0,0,0,0,0,0,0,0,0,0,0
Didubeshi,30.0,135.0,5.0,4.0,0.0,23.0,330128.0,Under Construction,1.0,Black Frame,,1.0,0,0,0,0,0,0,0,0,0,0
Sololakshi,5.0,160.0,4.0,3.0,0.0,1.0,706446.0,Newly Constructed,2.0,White Frame,,1.0,0,0,0,0,0,0,0,0,0,0
Saburtaloze,16.0,164.0,5.0,4.0,0.0,2.0,679275.0,Newly Constructed,2.0,Newly Renovated,Central Heating,1.0,0,0,1,0,0,0,0,0,0,0
Saburtaloze,8.0,255.0,3.0,2.0,1.0,8.0,923814.0,Newly Constructed,1.0,Newly Renovated,Central Heating,1.0,0,1,1,1,1,0,0,0,1,0
